x1,x2,label,lang,texts
1.4614256146911878e-06,2.1861618218100168e-07,1,xx,"""Я уже получил несколько десятков обращений со стороны губернаторов и со стороны высшей школы с предложением создать у себя на базе соответствующие филиалы, отделения ""Сколково""."
4.115098728025805,-0.0405260862331851,2,es-AR,"En medio del críptico lenguaje diplomático, el comunicado sugiere que no conviene a Argentina esta actitud porque sufrirá represalias por su conducta, no solo británicas sino europeas. Y extiende una mano cauta en la discusión de “cuestiones regionales”, que hasta podrían sugerir el petróleo descubierto alrededor de las islas."
0.023247862184541463,0.15618700615204215,1,xx,"Besede Gerdola, ki meni, da si je Trbiž z uspešnostjo nekako že zagotovil mesto standardnega organizatorja svetovnega pokala, je potrdila tudi mednarodna smučarska zveza, ki jim je že sporočila termin naslednje izvedbe."
0.021007282183265696,2.183925539128782,1,xx,"""I’ve promised to win and bring home a medal from here to Sir MVP (Manny V. Pangilinan) and all those who had supported me in the last World Championships,” sabi ni Albania na natalo sa first round ng World Boxing sa Barbados."
5.057272501317193,-0.003564355613122168,2,es-AR,"Se puede acceder a consejos de cómo disfrutar de esta vida en el website, donde además se nos proveerán links de selecciones de hoteles para llevar a cabo esa experiencia en las opciones que ofrecen las propiedades de Meliá."
5.402780830454245,-0.034213494604892335,2,es-AR,"Durante la habitual ronda de los jueves, la titular de Madres exclamó que ""la patria se construye con trabajadores como en la época de Perón, siendo kirchneristas, no justicialistas, y Moyano se parece más a los justicialistas que a los kirchneristas""."
7.969630522225012,-0.10917077427829644,2,es-AR,"En este documento la defensa de Murray pide acceder a los expedientes de tres de los préstamos que tenía Jackson, que sumaban cerca de 500 millones de dólares de deuda al momento de su muerte el 25 de junio de 2009."
2.5034332869443946e-06,6.931236731124076e-07,1,xx,"Полиция считает, что Грей, возглавлявший приход в Уотербери, на протяжении семи лет тратил приходские деньги на дорогие отели и рестораны, одежду, а также услуги мужского эскорта."
0.039459579049118135,1.944036155949218,1,xx,Tumayo diumano si Boy Bawang at kinompronta ang biktima kung bakit tila laging maganda ang baraha at nagpaliwanag si Trinidad na marahil ay buwenas lamang siya.
2.3416103298912403e-06,5.528968596251579e-06,1,xx,"Напомним, что 3 февраля Рада исключила из закона ""О выборах Президента Украины"" норму, в соответствии с которой заседание избирательной комиссии является полномочным, если в нем принимает участие не менее 2/3 ее состава."
